فورد,"اسكورت,ايكو- سبورت,بى - ماكس,رينجر,سى ماكس,فوكس,فيستا,فيوجن,كا,كوجا,كورير,مونديو"
فولفو,S80
فولكس,"EOS,T5,اماروك,باراتى,باسات,باسات 99,بورا,بولو,بولو عيون,بوينتر,بيتلز,توراج,توران,تيجوان,جول,جولف,جولف 2,جولف3 جولف4,جولف5,جولف 6,جولف 7,جيتا,سوران,شيروكو,توارق,فاجن باراتى,فاجن جيتا,كادى,كادى لايف,كرافتر,كروس فوكس,نيو بيتل,نيو جيتا"
فيات,"124,127,128,131,132,X500البيا,اونو,باندا,برافا,برافو,بولونيز,بونتو,بونتو كلاسيك,بيترا,تيمبرا,تيبو,جراند بونتو,ديبلوماكس,دوبلو,دوجان,ريتيمو,ريجاتا,سيينا,شاهين,فيورينو,كوجو,لينيا"
كرايسلر,"تاون,فيوجار"
كيا,"برايد,بيجاس,بيكانتو,ريو,سايبا,سبيكترا,سبورتاج,سورينتو,سول,سيراتو,سيفيا,سيد,شوما,كاينز,كرنفال,كوبيه"
لادا,"2105,2107,2110جرانتا,سمارا,نيفا"
لاندروفر,"LR2,ديسكفرى سبورت"
ليفان,320520
مابيل,سباير
مازدا,"2,3,323,626,929,B1600,B2000,بونجو,بيكاب,زوم,فاميلى,فراشة,ميكروباص,نقل"
ماهيندرا,سكوربيو
ميتسوبيشى,"اتراج,اكسبندر,ايكليبس,باجيرو,بومه,شارك,لانسر,مكواه"
ميرسيدس,"C200,E200,S280,A150,A160,B150,B180,C180,C240,C250,C280,C300,CL500,CL5000,CLA-180,CLA-200,CLK2000,E180,E230,E240,E250,E280,GLC-200,GLK250,GLK350,S320,W115,W124,W126,W140,W168,W203,W204,W210,W211,W221,W246,E320"
مينى,"كلب مان,كلب مان وان,كوبر,كوبر S,كونترى مان,وان"
نيسان,"ارمادا,اكس تريل,تيدا,جوك,سينترا,سيلفى,سانى N16,سانى N17,قشقاى,ليفينا,مورانو,نيو قشقاى"
هوندا,"HRV,اكورد,سيتى,سيفيك"
هيونداى,"H1,I10,I20,I30,IX20,IX35,XD النترا,اتوس,افانتى,اكسنت,اكسنت RP,اكسيل,النترا AD,النترا HD, MD النترا,توسان,جيتس,سانتافى,سانتامو,سولاريس,سوناتا,فيرنا,فيفا,فيلوستر,كريتا,كوبيه,ماتريكس,نيو اكسنت"
